"Device Details, Price, Ratings"
"Apple iPhone 7 (Black, 32 GB)","?29,799"
"Apple iPhone 7 (Silver, 32 GB)","?29,799"
"Apple iPhone 7 (Gold, 32 GB)","?29,799"
"Apple iPhone 6s (Space Grey, 32 GB)","?29,799"
"Apple iPhone 7 (Rose Gold, 32 GB)","?29,799"
"Apple iPhone 6s (Gold, 32 GB)","?29,799"
"Apple iPhone 6s (Silver, 32 GB)","?29,799"
"Apple iPhone 6s (Rose Gold, 32 GB)","?29,799"
"Apple iPhone 6s (Space Grey, 64 GB)","?29,799"
"Apple iPhone 7 (Jet Black, 32 GB)","?29,799"
"Apple iPhone 6s (Silver, 16 GB)","?29,799"
"Apple IPhone 4 (White, 8 GB)","?29,799"
"Apple IPhone 4 (Black, 8 GB)","?29,799"
"Apple iPhone 5C (Blue, 8 GB)","?29,799"
"Apple iPhone 5C (White, 8 GB)","?29,799"
"Apple iPhone 5s (Space Grey, 16 GB)","?29,799"
"Apple iPhone 5s (Silver, 16 GB)","?29,799"
"Apple iPhone 5s (Gold, 16 GB)","?29,799"
"Apple iPhone 6 (Gold, 32 GB)","?29,799"
"Apple iPhone 6 (Gold, 64 GB)","?29,799"
"Apple iPhone 6 (Space Grey, 16 GB)","?29,799"
"Apple iPhone 6 (Space Grey, 64 GB)","?29,799"
"Apple iPhone 6 (Space Grey, 32 GB)","?29,799"
"Apple iPhone 6 (Silver, 64 GB)","?29,799"
